time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.velocity.linear.x,.velocity.linear.y,.velocity.linear.z,.velocity.angular.x,.velocity.angular.y,.velocity.angular.z,.covariance
2023/03/04/12:43:33.399779,149239,1668508049,744635870,,-162.76293801963675,7.196345270968319,0.0,0.0,0.0,0.677438922992402,0.7355790274436148,0.0006026391608971954,0.007310773735230367,0.0,0.0,0.0,-0.0001596034353718447,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.437684,149240,1668508049,754620931,,-162.76293065137136,7.1964269318815,0.0,0.0,0.0,0.6774382590402531,0.735579638916488,0.0006218052968827677,0.007543116841772698,0.0,0.0,0.0,-0.00016500435169500649,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.437753,149241,1668508049,764806636,,-162.76283285608434,7.196417852511287,0.0,0.0,0.0,0.677425424658114,0.7355914586418021,0.0006414708793933009,0.007778364804102628,0.0,0.0,0.0,-0.0001704159382854789,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.437788,149242,1668508049,774648752,,-162.76282443041035,7.196511246008092,0.0,0.0,0.0,0.6774247194475268,0.7355921080880624,0.0006613388654685208,0.008019092850728434,0.0,0.0,0.0,-0.0001759611900779134,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.437841,149243,1668508049,784623539,,-162.7627456530024,7.196513999973469,0.0,0.0,0.0,0.6774056069409911,0.7356097088027778,0.0006824203826200654,0.008269471672592447,0.0,0.0,0.0,-0.0001817362514544542,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.437880,149244,1668508049,794620655,,-162.76273947849072,7.196587519846927,0.0,0.0,0.0,0.6774048728038056,0.7356103848516958,0.0007014794963268818,0.008500220264288103,0.0,0.0,0.0,-0.00018681206344435062,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.437936,149245,1668508049,804625294,,-162.7626758426516,7.196597554903216,0.0,0.0,0.0,0.6773807763135672,0.7356325739666706,0.0007278693776972141,0.008812957299356699,0.0,0.0,0.0,-0.00019392768352812444,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.437974,149246,1668508049,814622999,,-162.7626661628267,7.196704197896008,0.0,0.0,0.0,0.6773799535849676,0.7356333315458369,0.000754498507771756,0.009135130599358278,0.0,0.0,0.0,-0.0002010103411220948,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.438055,149247,1668508049,824805785,,-162.76275428528382,7.1962574958276875,0.0,0.0,0.0,0.6773232459446967,0.7356855445792991,0.0006802875001353922,0.008221166394738608,0.0,0.0,0.0,-0.00018127218316480983,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.438385,149248,1668508049,834802974,,-162.76274612205518,7.196348865923864,0.0,0.0,0.0,0.6773224848458428,0.7356862452990767,0.0007048227485740987,0.008517456541620104,0.0,0.0,0.0,-0.00018839188199974388,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
