time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.velocity.linear.x,.velocity.linear.y,.velocity.linear.z,.velocity.angular.x,.velocity.angular.y,.velocity.angular.z,.covariance
2023/03/04/12:57:29.429641,112122,1668507678,571567873,,-2.769616756903144,-5.51913555933624,0.0,0.0,0.0,-0.6489370694538884,-0.7608420860392774,0.0008657337124296238,0.005418895740597169,0.0,0.0,0.0,6.647776152017361e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.429734,112123,1668507678,581057467,,-2.769528076932435,-5.518955911128853,0.0,0.0,0.0,-0.6489357360293057,-0.7608432233411186,0.0008823611306401004,0.005522847644537223,0.0,0.0,0.0,6.775514674340821e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.429774,112124,1668507678,591130316,,-2.7695190983947264,-5.518901223368078,0.0,0.0,0.0,-0.6489360114314717,-0.7608429884459821,0.0008992465921488919,0.00562856276123845,0.0,0.0,0.0,6.905448901469424e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.429827,112125,1668507678,601315439,,-2.7694303955938633,-5.518721056434397,0.0,0.0,0.0,-0.6489349030823041,-0.7608439337745689,0.0009166573566734934,0.00573743289076358,0.0,0.0,0.0,7.039319409162157e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.429917,112126,1668507678,611318390,,-2.7694652955544075,-5.518957135459638,0.0,0.0,0.0,-0.6489349563700195,-0.760843888324695,0.000810743946944218,0.005074516814457255,0.0,0.0,0.0,6.225825897323474e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.433287,112127,1668507678,621376310,,-2.769380445533858,-5.51880135452562,0.0,0.0,0.0,-0.6489339784538022,-0.7608447224027517,0.0008191283182547129,0.005126910727157952,0.0,0.0,0.0,6.28960825414546e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.443071,112128,1668507678,631160274,,-2.7693726748039236,-5.518754359767706,0.0,0.0,0.0,-0.6489342317507802,-0.7608445063625187,0.0008337767813792618,0.005218617521276414,0.0,0.0,0.0,6.402147539607123e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.472658,112129,1668507678,641176748,,-2.7692856627437465,-5.518582598092234,0.0,0.0,0.0,-0.6489334585451835,-0.7608451658390074,0.0008510253280014628,0.005326506863187468,0.0,0.0,0.0,6.53445640415387e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.472711,112130,1668507678,651060031,,-2.76927710151404,-5.518530592560589,0.0,0.0,0.0,-0.6489337258558419,-0.7608449378466384,0.0008688403221187727,0.0054380341681334625,0.0,0.0,0.0,6.671252242079862e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:57:29.473536,112131,1668507678,661195327,,-2.7691904545008823,-5.5183579020025455,0.0,0.0,0.0,-0.6489330125896751,-0.7608455461992852,0.0008885849785246268,0.0055615481910406914,0.0,0.0,0.0,6.822646938878706e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
