time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.velocity.linear.x,.velocity.linear.y,.velocity.linear.z,.velocity.angular.x,.velocity.angular.y,.velocity.angular.z,.covariance
2023/03/04/12:22:00.681974,240124,1668508958,603351157,,238.70937625620454,181.152766885302,0.0,0.0,0.0,0.06142695332541316,-0.9981115816406287,0.006251126756215431,-0.0007723536831160031,0.0,0.0,0.0,-0.00010405886695672964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.757001,240125,1668508958,613381181,,238.7094385061608,181.15275636574637,0.0,0.0,0.0,0.061427499782219445,-0.9981115480097931,0.00634687115841203,-0.0007841903729245237,0.0,0.0,0.0,-0.0001055659638532323,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.757069,240126,1668508958,623353165,,238.70930072603824,181.15308082144293,0.0,0.0,0.0,0.06142479996763296,-0.9981117141627666,0.0064351344706144705,-0.0007950604395974491,0.0,0.0,0.0,-0.00010694476193378174,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.757165,240127,1668508958,633095385,,238.70935966833594,181.15307042955646,0.0,0.0,0.0,0.061425351686210126,-0.9981116802092967,0.00650684212023406,-0.0008039272182617286,0.0,0.0,0.0,-0.00010808323409715441,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.830517,240128,1668508958,643182866,,238.70923441307517,181.1533586781909,0.0,0.0,0.0,0.06140931290813513,-0.9981126671313969,0.006628506137654739,-0.0008187426567190236,0.0,0.0,0.0,-0.00011003468659909611,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.830648,240129,1668508958,653199696,,238.70931589789896,181.15334425785204,0.0,0.0,0.0,0.06140991383002222,-0.9981126301592367,0.006754322065596922,-0.000834291499403748,0.0,0.0,0.0,-0.00011203547830813584,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.830704,240130,1668508958,663362918,,238.70886668340074,181.15369603205383,0.0,0.0,0.0,0.06139706273064981,-0.9981134207533975,0.006020110423187029,-0.0007434445468100608,0.0,0.0,0.0,-0.00010029165650560767,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.830753,240131,1668508958,673377354,,238.70893764110943,181.15368363828364,0.0,0.0,0.0,0.06139761076213174,-0.9981133870421245,0.00613580370787389,-0.0007577387569341453,0.0,0.0,0.0,-0.00010218885834000676,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.830796,240132,1668508958,683326368,,238.70878132670666,181.15398693969598,0.0,0.0,0.0,0.061388179599760895,-0.9981139671427445,0.0061106880301709755,-0.0007545198653099487,0.0,0.0,0.0,-0.0001016882154215416,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:22:00.830859,240133,1668508958,693346484,,238.70885979129733,181.15397302107232,0.0,0.0,0.0,0.06138876026455875,-0.9981139314292635,0.006281524192592432,-0.0007756213549877959,0.0,0.0,0.0,-0.00010448907218929584,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
